Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
December 25, 2025 - 21:16:53
Django version 6.0, using settings 'ems_project.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
For more information on production servers see: https://docs.djangoproject.com/en/6.0/howto/deployment/
[25/Dec/2025 21:28:52] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:28:52] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:30:03] "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[25/Dec/2025 21:30:04] "POST /api/auth/login/ HTTP/1.1" 200 231
[25/Dec/2025 21:30:04] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[25/Dec/2025 21:30:04] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[25/Dec/2025 21:30:04] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[25/Dec/2025 21:30:04] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[25/Dec/2025 21:30:04] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[25/Dec/2025 21:30:04] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[25/Dec/2025 21:30:04] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:30:04] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:30:04] "GET /api/departments/ HTTP/1.1" 200 568
[25/Dec/2025 21:30:04] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:30:04] "GET /api/departments/ HTTP/1.1" 200 568
[25/Dec/2025 21:30:04] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:30:05] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:30:05] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:31:09] "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[25/Dec/2025 21:31:10] "POST /api/auth/login/ HTTP/1.1" 200 231
[25/Dec/2025 21:31:10] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[25/Dec/2025 21:31:10] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[25/Dec/2025 21:31:10] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[25/Dec/2025 21:31:10] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[25/Dec/2025 21:31:10] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[25/Dec/2025 21:31:10] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[25/Dec/2025 21:31:10] "GET /api/departments/ HTTP/1.1" 200 568
[25/Dec/2025 21:31:10] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:31:10] "GET /api/departments/ HTTP/1.1" 200 568
[25/Dec/2025 21:31:10] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:31:10] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:31:10] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:31:11] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:31:11] "GET /api/companies/ HTTP/1.1" 200 850
[26/Dec/2025 09:09:52] "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[26/Dec/2025 09:09:54] "POST /api/auth/login/ HTTP/1.1" 200 231
[26/Dec/2025 09:09:54] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[26/Dec/2025 09:09:54] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[26/Dec/2025 09:09:54] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[26/Dec/2025 09:09:54] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[26/Dec/2025 09:09:54] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[26/Dec/2025 09:09:54] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[26/Dec/2025 09:09:54] "GET /api/companies/ HTTP/1.1" 200 850
[26/Dec/2025 09:09:54] "GET /api/departments/ HTTP/1.1" 200 568
[26/Dec/2025 09:09:54] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:09:54] "GET /api/departments/ HTTP/1.1" 200 568
[26/Dec/2025 09:09:54] "GET /api/companies/ HTTP/1.1" 200 850
[26/Dec/2025 09:09:54] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:09:54] "GET /api/companies/ HTTP/1.1" 200 850
[26/Dec/2025 09:09:54] "GET /api/companies/ HTTP/1.1" 200 850
[26/Dec/2025 09:09:54] "POST /api/companies/ HTTP/1.1" 201 184
[26/Dec/2025 09:09:54] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:09:54] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:09:54] "GET /api/departments/ HTTP/1.1" 200 568
[26/Dec/2025 09:09:54] "GET /api/departments/ HTTP/1.1" 200 568
[26/Dec/2025 09:09:54] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:09:54] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:09:55] "POST /api/departments/ HTTP/1.1" 201 155
[26/Dec/2025 09:09:55] "GET /api/departments/ HTTP/1.1" 200 724
[26/Dec/2025 09:09:55] "GET /api/departments/ HTTP/1.1" 200 724
[26/Dec/2025 09:09:55] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:09:55] "GET /api/employees/ HTTP/1.1" 200 361
[26/Dec/2025 09:09:55] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:09:55] "GET /api/companies/ HTTP/1.1" 200 1035
[26/Dec/2025 09:09:55] "OPTIONS /api/departments/?company=8 HTTP/1.1" 200 0
[26/Dec/2025 09:09:55] "GET /api/departments/?company=8 HTTP/1.1" 200 724
Bad Request: /api/employees/
[26/Dec/2025 09:09:56] "POST /api/employees/ HTTP/1.1" 400 50
[26/Dec/2025 09:11:11] "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[26/Dec/2025 09:11:13] "POST /api/auth/login/ HTTP/1.1" 200 231
[26/Dec/2025 09:11:13] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[26/Dec/2025 09:11:13] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[26/Dec/2025 09:11:13] "OPTIONS /api/companies/ HTTP/1.1" 200 0
